id,season,name,games,defPD,defQB HUR,defSACKS,defSOLO,defTD,defTFL,defTOT,defINT,team_defPD,team_defQB HUR,team_defSACKS,team_defSOLO,team_defTD,team_defTFL,team_defTOT,ms.tck,tk.game,ms.sck,sk.game,ms.tfl,tfl.game,ms.qbhur
537014,2012,George Johnson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537015,2013,Haamid Williams,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537017,2014,Daniel Rodriguez,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537019,2016,Colborn Couchman,6,0,0,0,4,0,0,9,0,11,2,9,188,1,27,320,0.028,1.5,0.0,0.0,0.0,0.0,0.0
537021,2016,Demonte Hood,7,0,0,0,6,0,1,12,0,13,2,9,188,2,26,286,0.042,1.7,0.0,0.0,0.038,0.1,0.0
537023,2016,Ian Patterson,2,0,0,0,2,0,0,2,0,3,0,4,47,1,6,57,0.035,1.0,0.0,0.0,0.0,0.0,
537030,2016,Thomas Hennessy,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,1.0,,0.0,,0.0,
537038,2016,Dominique Leake,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537041,2015,Ka'Jandre Domino,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537045,2012,Justin Fortson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
537046,2014,Cedric Skinner,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537047,2014,Jeremy Runner,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537063,2015,Tajae Sharpe,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537064,2015,D'Metrius Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
537066,2013,A.J. Doyle,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537067,2015,Trey Dudley-Giles,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537068,2016,Khary Bailey-Smith,18,4,0,0,41,0,1,69,8,12,2,9,140,0,26,317,0.218,3.8,0.0,0.0,0.038,0.1,0.0
537069,2017,Stacey Bedell,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537071,2015,Rodney Mills,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537074,2016,John Robinson-Woodgett,9,0,0,0,6,0,0,8,1,3,0,3,28,0,6,88,0.091,0.9,0.0,0.0,0.0,0.0,
537075,2013,Greg Orekoya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537077,2015,Jovan Santos-Knox,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537078,2016,Vondell Langston,10,0,0,0,14,0,2,47,0,12,2,9,140,0,26,317,0.148,4.7,0.0,0.0,0.077,0.2,0.0
537082,2012,Michael Boland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537083,2015,Jaurice Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
537087,2016,Bernard Davis,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537088,2013,Derek Beck,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537093,2013,Melvin German,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
